rep,true_aid,pred_aid,day,event_type,correct,true_pos,pred_pos,reasoning
1,a001,a001,24,neighbor_pressure,TRUE,5,5,"Profile 5 matches exactly on the silk tassel, fence line/gates, upcoming inspection/compliance, and especially the stated preference that time matters more than money and that she hates calling around for estimates and prefers neighbor-recommended contractors."
1,a001,a001,48,insurance_non_renewal,TRUE,5,5,"Profile 5 matches the exact priorities and phrasing: time is more valuable than money, dislike of getting multiple estimates, reliance on trusted neighbor referrals, and insurance pressure as the real motivator. The response about not wasting time on three competing bids and using a neighbor’s contractor is especially characteristic of Linda."
1,a003,a003,1,firewise_outreach,TRUE,5,5,"Profile 5 matches the exact substance and tone: Zone 0 compliance already mostly done, dead oak wood as a specific unresolved hazard, explicit reference to CEQA conflicts, Firewise/Ember enforcement, and a cynical interest in putting Berkeley's contradiction on the record before inspections."
1,a001,a006,1,firewise_outreach,FALSE,4,1,"Profile 1 matches the methodical, exact-language-first approach: she researches for weeks or months before spending money, found Firewise responsive, and is focused on precise compliance and documentation. The response's insistence on the exact ordinance text, definitions, exceptions, and photographing the five-foot perimeter before acting fits her thorough, practical style better than the others."
1,a001,a001,36,firewise_outreach,TRUE,4,4,"Profile 4 matches exactly: mentions sharing a contractor referral, sending photos of the silk tassel trimming, and skipping a Saturday group workday because time is scarce and, as a still-working lawyer, Saturday is the one day on her own schedule. The response’s emphasis on efficiency, limited time, and not wanting communal labor fits Linda closely."
1,a003,a003,12,defensible_space_inspection,TRUE,5,5,"Profile 5 matches directly: the response mentions qualifying by age for the Residential Assistance Program, already knowing RAP contractors are competent, being older and unable to do vent covers personally, having already done much of the yard work, and the cynical line about not arguing with inspectors who are actually doing their jobs in a city that usually does not enforce rules fits Walter's sardonic view that Berkeley makes rules but rarely enforces them and Ember is unusual for actually enforcing."
1,a001,a001,55,resources_assistance,TRUE,2,2,"Profile 2 matches the exact framing that time is more valuable than money, and she has prior experience with the free mesh/vent materials program. The response is practical, selective, and specifically says they do not have eucalyptus, which fits her house better than Profile 5, whose defining issue is heavy eucalyptus exposure from neighbors. The voice is concise and efficiency-focused in a way that aligns with Linda."
1,a001,a001,12,defensible_space_inspection,TRUE,4,4,"Profile 4 matches the strongest. The response explicitly values speed over shopping around for multiple estimates, which fits Linda's stated dislike of getting lots of estimates because it's a time suck and her preference for neighbor recommendations. It also mentions scanning the QR code immediately so she doesn't lose it, consistent with her practical, time-conscious style. The division between small tasks she can do herself this weekend and bigger vent/pruning work needing a trusted contractor also fits her mix of compliance, gardening work, and prior use of contractors like Nigel for vents and mitigation."
1,a003,a003,36,firewise_outreach,TRUE,1,1,"Profile 1 matches the sardonic, pragmatic tone and specific circumstances: he already cleared his own large lot months ago, used the Residential Assistance Program, sent photo documentation, and would dryly comply with the bureaucratic parts while refusing a Saturday community workday for neighbors' maintenance."
1,a003,a003,48,insurance_non_renewal,TRUE,5,5,"Profile 5 matches the specific mention of already having documentation from Residential Assistance Program work, photos of cleared zones, and a pragmatic, mildly cynical attitude toward institutions and insurance wording. The line about wanting exact requirements before spending money fits Walter's voice and circumstances best."
1,a003,a003,24,neighbor_pressure,TRUE,4,4,"Profile 4 matches the explicit mention of qualifying for the city's Residential Assistance Program, having contractors do the bulk of the defensible space work, and the tone of mildly sardonic self-protection about not being made the problem when he has already done substantial clearing."
1,a005,a005,36,firewise_outreach,TRUE,5,5,"Profile 5 matches the community-helping, practical tone and specific mention of offering photos/examples of Zone Zero work and helping neighbors document their work. Laura is oriented toward sharing attractive compliance examples, empathizing with overwhelmed neighbors, and providing practical support rather than just reacting abstractly."
