rep,true_aid,pred_aid,day,event_type,correct,true_pos,pred_pos,reasoning
1,beth,beth,12,defensible_space_inspection,True,4,4,"Profile 4 matches the strongest tells: prioritizing insurance as the real motivator, wanting documented progress before re-inspection, hating the time suck of multiple estimates, and using a trusted neighbor recommendation for contractors. The specific focus on quick Zone 0 items like leaf litter, mulch, and woodpile also fits her practical compliant style."
1,beth,beth,55,resources_assistance,True,2,2,"Profile 2 matches the specific mix of pragmatism about using free mitigation help, concern about documenting work for insurance non-renewal, and the distinctive belief that the real solution is a firebreak in the park rather than burdening private homeowners with gravel strips and mesh. The mention of free vent mesh also directly fits Linda's experience with free metal mesh from the fire department and her frustration with delays."
1,beth,beth,1,firewise_outreach,True,4,4,"Profile 4 matches the specifics and voice almost exactly: she refers to forwarding things to her husband, mentions the June 2026 deadline, explicitly hates wasting time getting multiple estimates and prefers neighbor recommendations, says insurance is the real motivator rather than fines, and is angry that Berkeley/East Bay Regional Parks won't clear Wildcat Canyon while homeowners must pay for Zone 0 around the house. The complaint about the five-foot perimeter also fits her history of spending money on compliance while resenting the public-agency burden shift."
1,edward,edward,1,firewise_outreach,True,5,5,"Profile 5 matches the exact stance and phrasing: already cleared much of the area long before being told, cynical about Berkeley passing rules without enforcement, and specifically noting that Ember is unusual because it may actually enforce things. The sardonic, wait-and-see attitude about inspections materializing before responding fits Walter closely."
1,beth,beth,36,firewise_outreach,True,4,4,"Profile 4 fits best: the response centers on saving time, using a neighbor-provided contractor recommendation, and rejecting photo documentation as busywork. Linda explicitly values her time more than money, hates time-sucking processes, and relies heavily on neighbor recommendations for contractors. The practical, slightly dismissive tone about online/photo tasks also matches her style."
1,beth,beth,24,neighbor_pressure,True,5,5,"Profile 5 fits the exact stance and circumstances: already compliant-minded, irritated but not defensive, relies on neighbor-recommended contractors, and specifically talks about handling mulch and wood/vegetation issues on a deadline before follow-up. The voice of acknowledging the inspector is right while wanting to signal action matches Linda's practical, direct style best."
1,edward,edward,12,defensible_space_inspection,True,5,5,"Profile 5 matches the sardonic tone about city enforcement and the exact stance: he notes Ember is rare in actually enforcing rules, and he already does debris clearing himself while using assistance for harder items. The response's line about inspectors actually showing up and doing their job 'in rare company in this city' strongly fits Walter's cynical voice and his history with Ember inspections, leaf litter, wood pile movement, and calling Ember for vent-cover help rather than doing everything personally."
1,beth,beth,48,insurance_non_renewal,True,5,5,"Profile 5 fits best because the response explicitly centers insurance as the main motivation for compliance, using almost the same framing as Linda's memory seed that 'insurance is really the bottom line' and that policy loss is the ultimate risk. The practical step of pulling inspection reports and photos to show progress also matches her organized, compliance-oriented, documentation-friendly style. Other profiles mention insurance, but none make it so clearly the primary reason for doing Zone 0 work."
1,edward,edward,55,resources_assistance,True,1,1,"Profile 1 matches best because the response explicitly says the writer already used RAP and has already done most of the work. Walter is the only profile who clearly qualified for and used RAP, had substantial vegetation work already completed, and would treat the letter as mostly redundant practical information to keep on hand for later vent mesh work."
1,jennifer,jennifer,36,firewise_outreach,True,5,5,"Profile 5 matches the specific details and mindset: mentions a front patio conversion she has been repeating as an example, free gutter screens from the fire department still sitting in the garage waiting to be installed, and a practical community-oriented desire to show real completed work to neighbors rather than just talk about it."
